time,open,high,low,close
2025-05-20T02:10:00.000000000Z,1.12403,1.12424,1.12394,1.1242
2025-05-20T02:15:00.000000000Z,1.12418,1.12437,1.12409,1.12422
2025-05-20T02:20:00.000000000Z,1.12422,1.1246,1.12416,1.12428
2025-05-20T02:25:00.000000000Z,1.12427,1.12464,1.12426,1.12439
2025-05-20T02:30:00.000000000Z,1.12438,1.12449,1.1242,1.12442
2025-05-20T02:35:00.000000000Z,1.12443,1.12444,1.12422,1.12423
2025-05-20T02:40:00.000000000Z,1.12424,1.12426,1.12396,1.12414
2025-05-20T02:45:00.000000000Z,1.12414,1.12444,1.12402,1.12425
2025-05-20T02:50:00.000000000Z,1.12426,1.12428,1.12383,1.12388
2025-05-20T02:55:00.000000000Z,1.12388,1.12388,1.12261,1.1232
2025-05-20T03:00:00.000000000Z,1.12318,1.12342,1.12294,1.12336
2025-05-20T03:05:00.000000000Z,1.12334,1.1241,1.12332,1.12406
2025-05-20T03:10:00.000000000Z,1.12406,1.12442,1.12405,1.12418
2025-05-20T03:15:00.000000000Z,1.12418,1.12438,1.124,1.1242
2025-05-20T03:20:00.000000000Z,1.12418,1.12439,1.12406,1.12428
2025-05-20T03:25:00.000000000Z,1.12428,1.12439,1.12418,1.12432
2025-05-20T03:30:00.000000000Z,1.12433,1.12438,1.12423,1.12438
2025-05-20T03:35:00.000000000Z,1.12437,1.12461,1.12413,1.12443
2025-05-20T03:40:00.000000000Z,1.12444,1.1247,1.12434,1.12459
2025-05-20T03:45:00.000000000Z,1.12458,1.12464,1.12436,1.1244
2025-05-20T03:50:00.000000000Z,1.12439,1.12451,1.12424,1.12448
2025-05-20T03:55:00.000000000Z,1.1245,1.12474,1.12438,1.1245
2025-05-20T04:00:00.000000000Z,1.12449,1.12476,1.12433,1.12437
2025-05-20T04:05:00.000000000Z,1.12436,1.12446,1.12424,1.12428
2025-05-20T04:10:00.000000000Z,1.12429,1.12444,1.12424,1.12427
2025-05-20T04:15:00.000000000Z,1.12428,1.12471,1.12426,1.1243
2025-05-20T04:20:00.000000000Z,1.1243,1.12445,1.12426,1.12429
2025-05-20T04:25:00.000000000Z,1.1243,1.1247,1.12425,1.1246
2025-05-20T04:30:00.000000000Z,1.1246,1.12488,1.12416,1.12486
2025-05-20T04:35:00.000000000Z,1.12487,1.12494,1.12464,1.12483
2025-05-20T04:40:00.000000000Z,1.12484,1.1251,1.12464,1.12475
2025-05-20T04:45:00.000000000Z,1.12474,1.12488,1.12464,1.12468
2025-05-20T04:50:00.000000000Z,1.12468,1.12468,1.12428,1.12432
2025-05-20T04:55:00.000000000Z,1.12432,1.12434,1.12404,1.12424
2025-05-20T05:00:00.000000000Z,1.12421,1.12497,1.12418,1.12468
2025-05-20T05:05:00.000000000Z,1.12469,1.12506,1.12439,1.12452
2025-05-20T05:10:00.000000000Z,1.12452,1.12499,1.12442,1.12492
2025-05-20T05:15:00.000000000Z,1.12495,1.12525,1.12486,1.12522
