Symbol,RSI_PERIOD,BUY_THRESH,SELL_THRESH,ATR_MULTIPLIER,MIN_SL,TP_SL_RATIO,TotalTrades,Profit,WinRate
USD_JPY,10,20,70,1.0,0.02,1.0,864,1167.64,53.01
USD_JPY,10,20,70,1.0,0.02,1.5,864,411.14,48.73
USD_JPY,10,20,70,1.0,0.02,2.0,864,173.55,47.11
USD_JPY,10,20,70,1.0,0.03,1.0,864,1167.74,53.01
USD_JPY,10,20,70,1.0,0.03,1.5,864,411.21,48.73
USD_JPY,10,20,70,1.0,0.03,2.0,864,173.61,47.11
USD_JPY,10,20,70,1.5,0.02,1.0,864,769.83,52.31
USD_JPY,10,20,70,1.5,0.02,1.5,864,551.1,50.58
USD_JPY,10,20,70,1.5,0.02,2.0,864,346.54,50.0
USD_JPY,10,20,70,1.5,0.03,1.0,864,769.83,52.31
USD_JPY,10,20,70,1.5,0.03,1.5,864,551.1,50.58
USD_JPY,10,20,70,1.5,0.03,2.0,864,346.54,50.0
USD_JPY,10,20,70,2.0,0.02,1.0,864,946.6,52.66
USD_JPY,10,20,70,2.0,0.02,1.5,864,561.12,51.62
USD_JPY,10,20,70,2.0,0.02,2.0,864,501.92,51.39
USD_JPY,10,20,70,2.0,0.03,1.0,864,946.6,52.66
USD_JPY,10,20,70,2.0,0.03,1.5,864,561.12,51.62
USD_JPY,10,20,70,2.0,0.03,2.0,864,501.92,51.39
USD_JPY,10,20,75,1.0,0.02,1.0,675,1316.83,53.93
USD_JPY,10,20,75,1.0,0.02,1.5,675,508.27,48.44
USD_JPY,10,20,75,1.0,0.02,2.0,675,254.32,46.37
USD_JPY,10,20,75,1.0,0.03,1.0,675,1316.94,53.93
USD_JPY,10,20,75,1.0,0.03,1.5,675,508.34,48.44
USD_JPY,10,20,75,1.0,0.03,2.0,675,254.38,46.37
USD_JPY,10,20,75,1.5,0.02,1.0,675,204.87,51.26
USD_JPY,10,20,75,1.5,0.02,1.5,675,55.96,49.04
USD_JPY,10,20,75,1.5,0.02,2.0,675,-83.3,48.3
USD_JPY,10,20,75,1.5,0.03,1.0,675,204.87,51.26
USD_JPY,10,20,75,1.5,0.03,1.5,675,55.96,49.04
USD_JPY,10,20,75,1.5,0.03,2.0,675,-83.3,48.3
USD_JPY,10,20,75,2.0,0.02,1.0,675,420.93,52.0
USD_JPY,10,20,75,2.0,0.02,1.5,675,139.55,50.67
USD_JPY,10,20,75,2.0,0.02,2.0,675,96.34,50.37
USD_JPY,10,20,75,2.0,0.03,1.0,675,420.93,52.0
USD_JPY,10,20,75,2.0,0.03,1.5,675,139.55,50.67
USD_JPY,10,20,75,2.0,0.03,2.0,675,96.34,50.37
USD_JPY,10,20,80,1.0,0.02,1.0,515,450.07,52.62
USD_JPY,10,20,80,1.0,0.02,1.5,515,-56.0,45.44
USD_JPY,10,20,80,1.0,0.02,2.0,515,-214.94,42.72
USD_JPY,10,20,80,1.0,0.03,1.0,515,450.14,52.62
USD_JPY,10,20,80,1.0,0.03,1.5,515,-55.95,45.44
USD_JPY,10,20,80,1.0,0.03,2.0,515,-214.9,42.72
USD_JPY,10,20,80,1.5,0.02,1.0,515,-312.34,48.54
USD_JPY,10,20,80,1.5,0.02,1.5,515,-397.32,45.63
USD_JPY,10,20,80,1.5,0.02,2.0,515,-476.8,44.66
USD_JPY,10,20,80,1.5,0.03,1.0,515,-312.34,48.54
USD_JPY,10,20,80,1.5,0.03,1.5,515,-397.32,45.63
USD_JPY,10,20,80,1.5,0.03,2.0,515,-476.8,44.66
USD_JPY,10,20,80,2.0,0.02,1.0,515,-132.1,50.29
USD_JPY,10,20,80,2.0,0.02,1.5,515,-303.97,48.54
USD_JPY,10,20,80,2.0,0.02,2.0,515,-330.36,48.16
USD_JPY,10,20,80,2.0,0.03,1.0,515,-132.1,50.29
USD_JPY,10,20,80,2.0,0.03,1.5,515,-303.97,48.54
USD_JPY,10,20,80,2.0,0.03,2.0,515,-330.36,48.16
USD_JPY,10,25,70,1.0,0.02,1.0,1065,2020.44,53.24
USD_JPY,10,25,70,1.0,0.02,1.5,1065,21.27,46.76
USD_JPY,10,25,70,1.0,0.02,2.0,1065,-442.57,44.13
USD_JPY,10,25,70,1.0,0.03,1.0,1065,2020.59,53.24
USD_JPY,10,25,70,1.0,0.03,1.5,1065,21.32,46.76
USD_JPY,10,25,70,1.0,0.03,2.0,1065,-442.54,44.13
